survey_location,session,birth_year,home_location,sex,caretaker,visit_frequency,relative_type,relative_curr_home_lang,relative_past_home_lang,relative_work_lang,relative_neighbor_lang,relative_partner_lang,relative_family_lang,relative_ethnicity,relative_education,relative_past_home,relative_curr_home,relative_profession,relative_religion,relative_birth_year,relative_first_lang,relative_other_langs
Jambi-Unja-November-2013,HBKRGL,1994,Jambi - Tungkal Ulu,Laki,Orang Tua,1-2,Ibu,Jambi,Minang,,Jambi,Kerinci,"Kerinci, Minang",Minang,SMA,Sumatera Barat - Kota Padang,Jambi - Kota Jambi,guru,Islam,,Minang,Jambi
,,,,,,,Bapak,Jambi,Jambi,"LPPPI, Sinar Mas",Kerinci,Kerinci,Kerinci,Melayu,SMA,Jambi - Kabupaten Kerinci,Jambi - Kota Jambi,Swasta,Islam,,Kerinci,Jambi
,,,,,,,Ibu dari ibu,Minang,Minang,,Minang,Minang,Minang,Minang,,#NAME?,Sumatera Barat - Kota Padang,,Islam,,Minang,
,,,,,,,Bapak dari ibu,Minang,Minang,,Minang,Minang,Minang,Minang,,#NAME?,Sumatera Barat - Kota Padang,,Islam,,Minang,
,,,,,,,Ibu dari bapak,Kerinci,Kerinci,,Kerinci,Kerinci,Kerinci,Kerinci,,Jambi - Kabupaten Kerinci,Jambi - Kabupaten Kerinci,,Islam,,Kerinci,
,,,,,,,Bapak dari bapak,Kerinci,Kerinci,,Kerinci,Kerinci,Kerinci,Kerinci,,Jambi - Kabupaten Kerinci,Jambi - Kabupaten Kerinci,,Islam,,Kerinci,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Bali-Undiksha-December-2013,NPIDEY,1995,Bali - Kota Denpasar,Laki,ORANG TUA,,Ibu,INDONESIA,BALI,INDONESIA,,BALI,INDONESIA,,SMP,Bali - Kabupaten Buleleng,Bali - SINGARAJA,,Hindu,1979,BALI,INDONESIA
,,,,,,,Bapak,INDONESIA,BALI,INDONESIA,,BALI,INDONESIA,,SMP,Bali - Kabupaten Buleleng,Bali - Kota Denpasar,,Hindu,1972,BALI,INDONESIA
,,,,,,,Ibu dari ibu,,BALI,,,,,,,Bali - Kabupaten Buleleng,Bali - Kabupaten Buleleng,,Hindu,,,
,,,,,,,Bapak dari ibu,,BALI,,,,,,,Bali - Kabupaten Buleleng,Bali - Kabupaten Buleleng,,Hindu,,,
,,,,,,,Ibu dari bapak,,BALI,,,,,,,Bali - Kabupaten Buleleng,Bali - Kabupaten Buleleng,,Hindu,,,
,,,,,,,Bapak dari bapak,,BALI,,,,,,,Bali - Kabupaten Buleleng,Bali - Kabupaten Buleleng,,Hindu,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Bali-Undiksha-December-2013,CLJUNW,1995,Jawa Timur - Kabupaten Tulungagung,Perempuan,ORANG TUA,lebih dari 24,Ibu,INDONESIA,JAWA,INDONESIA,INDONESIA,INDONESIA,INDONESIA,,S2,Jawa Timur - Kabupaten Tulungagung,Bali - NEGARA,GURU/DOSEN,Islam,1962,JAWA,INDONESIA
,,,,,,,Bapak,INDONESIA,BALI,"BALI, INDONESIA","BALI, INDONESIA",INDONESIA,BALI,,S1,Bali,Bali - NEGARA,PEGAWAI NEGERI,Islam,1963,BALI,JAWA
,,,,,,,Ibu dari ibu,JAWA,JAWA,,JAWA,JAWA,JAWA,,,Jawa Timur - Kabupaten Trenggalek, ,PETANI,Islam,,JAWA,INDONESIA
,,,,,,,Bapak dari ibu,JAWA,JAWA,,JAWA,JAWA,JAWA,,,Jawa Timur - Kabupaten Trenggalek, ,PETANI,Islam,,JAWA,INDONESIA
,,,,,,,Ibu dari bapak,BALI,BALI,,BALI,BALI,BALI,,,Bali,Bali,,Islam,,BALI,BALI
,,,,,,,Bapak dari bapak,BALI,MELAYU,,BALI,BALI,MELAYU,,,Bali,Bali,,Islam,,MELAYU,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,MELAYU,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Padang-Bung Hatta-November-2013,AKGZSI,1995,Sumatera Barat - Kota Bukittinggi,Laki,Orang Tua,lebih dari 24,Ibu,MINANG,"MINANG, INDONESIA",MINANG,"MINANG, INDONESIA",MINANG,"MINANG, INDONESIA",Guci/ Minang,D III,Sumatera Barat - Kota Bukittinggi,Sumatera Barat - Kota Bukittinggi,IBU RUMAH TANGGA,Islam,1958,"MINANG, INDONESIA",
,,,,,,,Bapak,MINANG,MINANG,INDONESIA,"MINANG, INDONESIA",MINANG,"MINANG, INDONESIA",MINANG,smp,Sumatera Barat - Kota Bukittinggi,Sumatera Barat - Kota Bukittinggi,WIRASWASTA,Islam,1958,"MINANG, INDONESIA",
,,,,,,,Ibu dari ibu,MINANG,MINANG,INDONESIA,MINANG,MINANG,MINANG,GUCI,,Sumatera Barat - Kota Bukittinggi, ,,Islam,,"MINANG, INDONESIA",
,,,,,,,Bapak dari ibu,MINANG,MINANG,INDONESIA,MINANG,MINANG,MINANG,,,Sumatera Barat - Kota Bukittinggi, ,LLAJ,Islam,,"MINANG, INDONESIA",
,,,,,,,Ibu dari bapak,MINANG,MINANG,INDONESIA,MINANG,MINANG,MINANG,,,Sumatera Barat - Kota Bukittinggi, ,,Islam,,"MINANG, INDONESIA",
,,,,,,,Bapak dari bapak,MINANG,MINANG,INDONESIA,MINANG,MINANG,MINANG,,,Sumatera Barat - Kota Bukittinggi, ,,Islam,,"MINANG, INDONESIA",
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Padang-Bung Hatta-November-2013,ADSYIB,1995,DKI Jakarta - JAKARTA,Laki,ORANG TUA,6-12,Ibu,INDONESIA,MELAYU,,INDONESIA,,MELAYU,BENGKULU,SMA,Bengkulu,DKI Jakarta - JAKARTA,IBU RUMAH TANGGA,Islam,1975,MELAYU,INDONESIA
,,,,,,,Bapak,INDONESIA,MINANG,,INDONESIA,,MINANG,MINANG PARIAMAN,SD,Sumatera Barat - Kota Padang,DKI Jakarta - JAKARTA,WIRASWASTA,Islam,1961,MINANG,INDONESIA
,,,,,,,Ibu dari ibu,,MELAYU,,,,,BENGKULU,TIDAK SEKOLAH,Bengkulu,#NAME?,IBU RUMAH TANGGA,Islam,1950,MELAYU,MELAYU
,,,,,,,Bapak dari ibu,MELAYU,MELAYU,MELAYU,MELAYU,INDONESIA,,BENGKULU,TIDAK SEKOLAH,Bengkulu,Bengkulu,PETANI,Islam,1955,MELAYU,MELAYU
,,,,,,,Ibu dari bapak,,MINANG,,,,,MINANG,TIDAK SEKOLAH,#NAME?,#NAME?,IBU RUMAH TANGGA,Islam,1932,MINANG,MINANG
,,,,,,,Bapak dari bapak,,MINANG,,,,,MINANG,TIDAK SEKOLAH,#NAME?,#NAME?,PETANI,Islam,1928,MINANG,MINANG
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Padang-Bung Hatta-November-2013,KURNFR,1996,Sumatera Barat - Kabupaten Pesisir Selatan,Perempuan,ORANG TUA,lebih dari 24,Ibu,MINANG,MINANG,"Minang, Indonesia","Minang, Indonesia",MINANG,MINANG,MINANG PADANG,SMP,Sumatera Barat - Kabupaten Pesisir Selatan,Sumatera Barat - Kabupaten Pesisir Selatan,DAGANG,Islam,1966,MINANG,INDONESIA
,,,,,,,Bapak,MINANG,MINANG,"Minang, Indonesia","Minang, Indonesia","Minang, Indonesia",MINANG,MINANG PADANG,D2,Sumatera Barat - Kabupaten Pesisir Selatan,Sumatera Barat - Kabupaten Pesisir Selatan,PNS,Islam,1953,MINANG,INDONESIA
,,,,,,,Ibu dari ibu,MINANG,MINANG,MINANG,MINANG,MINANG,MINANG,MINANG PADANG,,Sumatera Barat - Kabupaten Pesisir Selatan,Sumatera Barat - Kabupaten Pesisir Selatan,,Islam,1950,MINANG,INDONESIA
,,,,,,,Bapak dari ibu,MINANG,MINANG,MINANG,MINANG,MINANG,MINANG,MINANG PADANG,,Sumatera Barat - Kabupaten Pesisir Selatan,Sumatera Barat - Kabupaten Pesisir Selatan,,Islam,1940,MINANG,INDONESIA
,,,,,,,Ibu dari bapak,MINANG,MINANG,MINANG,MINANG,MINANG,MINANG,MINANG PADANG,,Sumatera Barat - Kabupaten Pesisir Selatan,Sumatera Barat - Kabupaten Pesisir Selatan,,Islam,1940,MINANG,INDONESIA
,,,,,,,Bapak dari bapak,MINANG,MINANG,MINANG,MINANG,MINANG,MINANG,MINANG PADANG,,Sumatera Barat - Kabupaten Pesisir Selatan,Sumatera Barat - Kabupaten Pesisir Selatan,,Islam,1935,MINANG,INDONESIA
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Padang-Bung Hatta-November-2013,GDDWCU,1994,Sumatera Barat - Kota Bukittinggi,Laki,orang tua,3-5,Ibu,minangkabau,minangkabau,,"minangkabau, Indonesia",minangkabau,"minangkabau, Indonesia",minangkabau,SMA,Sumatera Barat - Kabupaten Pasaman, Sumatera Barat - Kota Bukittinggi,IBU RUMAH TANGGA,Islam,1968,minangkabau,Indonesia
,,,,,,,Bapak,minangkabau,minangkabau,minangkabau,"minangkabau, Indonesia",minangkabau,"minangkabau, Indonesia",minangkabau,SMA,Sumatera Barat - Kabupaten Pasaman, Sumatera Barat - Kota Bukittinggi,PNS,Islam,1967,minangkabau,Indonesia
,,,,,,,Ibu dari ibu,minangkabau,minangkabau,minangkabau,"minangkabau, Indonesia",minangkabau,"minangkabau, Indonesia",minangkabau,SMA,Sumatera Barat - Kabupaten Pasaman,Sumatera Barat - Kabupaten Pasaman,PETANI,Islam,1940,minangkabau,Indonesia
,,,,,,,Bapak dari ibu,minangkabau,minangkabau,minangkabau,"minangkabau, Indonesia",minangkabau,"minangkabau, Indonesia",minangkabau,SMA,Sumatera Barat - Kabupaten Pasaman,Sumatera Barat - Kabupaten Pasaman,PETANI,Islam,1940,minangkabau,Indonesia
,,,,,,,Ibu dari bapak,minangkabau,minangkabau,minangkabau,"minangkabau, Indonesia",minangkabau,"minangkabau, Indonesia",minangkabau,SMA,Sumatera Barat - Kabupaten Pasaman,Sumatera Barat - Kabupaten Pasaman,PETANI,Islam,1940,minangkabau,Indonesia
,,,,,,,Bapak dari bapak,minangkabau,minangkabau,minangkabau,"minangkabau, Indonesia",minangkabau,"minangkabau, Indonesia",minangkabau,SMA,Sumatera Barat - Kabupaten Pasaman,Sumatera Barat - Kabupaten Pasaman,PETANI,Islam,1940,minangkabau,Indonesia
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Padang-Bung Hatta-November-2013,EAZZLU,1995,Sumatera Barat - Kota Padang,Laki,ORANG TUA,0,Ibu,minangkabau,minangkabau,minangkabau,minangkabau,minangkabau,minangkabau,MINANGKABAU,s1,Sumatera Barat - Kabupaten Solok,Sumatera Barat - Kota Padang,rumah tangga,Islam,1965,minangkabau,
,,,,,,,Bapak,minangkabau,minangkabau,Indonesia,minangkabau,minangkabau,minangkabau,MINANGKABAU,s2,Sumatera Barat - Kota Pariaman,Sumatera Barat - Kota Padang,pns (dosen),Islam,1937,minangkabau,
,,,,,,,Ibu dari ibu,minangkabau,minangkabau,,minangkabau,minangkabau,minangkabau,MINANGKABAU,,Sumatera Barat - Kabupaten Solok,Sumatera Barat - Kabupaten Solok,,Islam,1930,minangkabau,
,,,,,,,Bapak dari ibu,,,,,,,MINANGKABAU,,Sumatera Barat - Kabupaten Solok,#NAME?,,Islam,1930,minangkabau,
,,,,,,,Ibu dari bapak,,,,,,,MINANGKABAU,,Sumatera Barat - Kota Pariaman,#NAME?,,Islam,1910,minangkabau,
,,,,,,,Bapak dari bapak,,,,,,,MINANGKABAU,,Sumatera Barat - Kota Pariaman,#NAME?,,Islam,1910,minangkabau,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Padang-Bung Hatta-November-2013,XCATUK,1995,Sumatera Barat - Kabupaten Padang Pariaman,Perempuan,Orang tua,1-2,Ibu,MINANG,MINANG,INDONESIA,MINANG,MINANG,MINANG,Minangkabau,SMA,Sumatera Barat - Kabupaten Padang Pariaman,Sumatera Barat - Kota Pariaman,RT,Islam,1973,MINANG,INDONESIA
,,,,,,,Bapak,MINANG,MINANG,INDONESIA,MINANG,MINANG,MINANG,Minangkabau,SMA,Sumatera Barat - Kabupaten Padang Pariaman,Sumatera Barat - Kota Pariaman,WIRASWASTA,Islam,1973,MINANG,INDONESIA
,,,,,,,Ibu dari ibu,MINANG,MINANG,,MINANG,MINANG,MINANG,Minangkabau,,Sumatera Barat - Kota Pariaman,Sumatera Barat - Kota Pariaman,,Islam,,MINANG,INDONESIA
,,,,,,,Bapak dari ibu,MINANG,MINANG,,MINANG,MINANG,MINANG,Minangkabau,,Sumatera Barat - Kota Pariaman,Sumatera Barat - Kota Pariaman,,Islam,,MINANG,MINANG
,,,,,,,Ibu dari bapak,,,,,,,Minangkabau,, , ,,Islam,,MINANG,MINANG
,,,,,,,Bapak dari bapak,,,,,,,Minangkabau,, , ,,Islam,,MINANG,INDONESIA
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Padang-Bung Hatta-November-2013,LDHYOT,1994,Sumatera Barat - Kota Payakumbuh,Perempuan,Orang tua,lebih dari 24,Ibu,MINANG,MINANG,MINANG,MINANG,MINANG,MINANG,minang,SLTA,Sumatera Barat - Kota Payakumbuh,Sumatera Barat - Kota Payakumbuh,,Islam,1968,MINANG,
,,,,,,,Bapak,MINANG,MINANG,MINANG,MINANG,MINANG,MINANG,minang,SLTA,Sumatera Barat - Kota Payakumbuh,Sumatera Barat - Kota Payakumbuh,,Islam,1967,MINANG,
,,,,,,,Ibu dari ibu,MINANG,MINANG,,MINANG,MINANG,,minang,,Sumatera Barat - Kota Payakumbuh, ,,Islam,1940,MINANG,
,,,,,,,Bapak dari ibu,MINANG,MINANG,,MINANG,MINANG,,minang,,Sumatera Barat - Kota Payakumbuh, ,,Islam,1938,MINANG,
,,,,,,,Ibu dari bapak,MINANG,MINANG,,MINANG,MINANG,,minang,,Sumatera Barat - Kota Payakumbuh, ,,Islam,1942,MINANG,
,,,,,,,Bapak dari bapak,MINANG,MINANG,,MINANG,MINANG,,minang,,Sumatera Barat - Kota Payakumbuh, ,,Islam,1940,MINANG,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Padang-Bung Hatta-November-2013,IFGMJN,1995, Sumatera Barat - Kabupaten Dharmasraya,Laki,Orang tua,1-2,Ibu,,,Indonesia,,,Indonesia,Minangkabau,SMA,Sumatera Barat - Kota Padang,Sumatera Barat - Kabupaten Dharmasraya,,Islam,1968,Minangkabau,
,,,,,,,Bapak,,,Indonesia,,,Indonesia,Minangkabau,SMA,Sumatera Barat - Kabupaten Solok,Sumatera Barat - Kabupaten Dharmasraya,,Islam,1965,Minangkabau,
,,,,,,,Ibu dari ibu,Minangkabau,Minangkabau,Minangkabau,Minangkabau,Minangkabau,Minangkabau,Minangkabau,,Sumatera Barat - Kabupaten Solok,Sumatera Barat - Kabupaten Dharmasraya,,Islam,1930,Minangkabau,
,,,,,,,Bapak dari ibu,minang,minang,minang,minang,minang,minang,Minangkabau,,Sumatera Barat - Kabupaten Solok,Sumatera Barat - Kabupaten Dharmasraya,,Islam,1930,Minangkabau,
,,,,,,,Ibu dari bapak,Minangkabau,Minangkabau,Minangkabau,Minangkabau,Minangkabau,Minangkabau,Minangkabau,,Sumatera Barat - Kabupaten Solok,#NAME?,,Islam,1930,Minangkabau,
,,,,,,,Bapak dari bapak,Minangkabau,Minangkabau,Minangkabau,Minangkabau,Minangkabau,Minangkabau,Minangkabau,,Sumatera Barat - Kabupaten Solok,#NAME?,,Islam,1930,Minangkabau,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Padang-Bung Hatta-November-2013,GZHAOD,1995,Sumatera Barat - Kabupaten Pesisir Selatan,Perempuan,Orang tua,1-2,Ibu,Minang,Minang,melayu,Minang,Minang,Minang,Minang,SD,Sumatera Barat - Kabupaten Pesisir Selatan,Sumatera Barat - Kabupaten Pesisir Selatan,,Islam,1968,Minang,Minang
,,,,,,,Bapak,Minang,Minang,Minang,Minang,Minang,Minang,Minang,SD,Sumatera Barat - Kabupaten Pesisir Selatan,Sumatera Barat - Kabupaten Pesisir Selatan,,Islam,1965,Minang,Minang
,,,,,,,Ibu dari ibu,Minang,Minang,Minang,Minang,Minang,Minang,Minang,, , ,,Islam,1940,Minang,Minang
,,,,,,,Bapak dari ibu,Minang,Minang,Minang,Minang,Minang,Minang,Minang,, , ,,Islam,1938,Minang,Minang
,,,,,,,Ibu dari bapak,Minang,Minang,Minang,Minang,Minang,Minang,Minang,, , ,,Islam,1941,Minang,Minang
,,,,,,,Bapak dari bapak,Minang,Minang,Minang,Minang,Minang,Minang,Minang,, , ,,Islam,1931,Minang,Minang
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Padang-Bung Hatta-November-2013,VFERUG,1995,Riau,Perempuan,orang tua,1-2,Ibu,"INDONESIA, MELAYU",MELAYU,INDONESIA,INDONESIA,"INDONESIA, MELAYU","INDONESIA, MELAYU",Melayu,SMA,Riau - Kota Pekanbaru, ,PNS,Islam,,MELAYU,INDONESIA
,,,,,,,Bapak,"INDONESIA, MELAYU",MELAYU,INDONESIA,INDONESIA,"INDONESIA, MELAYU",INDONESIA,Melayu,S1,Riau - Kota Pekanbaru, ,PNS,Islam,,MELAYU,INDONESIA
,,,,,,,Ibu dari ibu,MELAYU,MELAYU,,MELAYU,MELAYU,MELAYU,Melayu,, ,Riau - Kota Pekanbaru,,Islam,,MELAYU,MELAYU
,,,,,,,Bapak dari ibu,MELAYU,MELAYU,,MELAYU,MELAYU,MELAYU,Melayu,, ,Riau - Kota Pekanbaru,,Islam,,MELAYU,MELAYU
,,,,,,,Ibu dari bapak,INDONESIA,INDONESIA,,INDONESIA,INDONESIA,INDONESIA,SUNDA,, ,Jambi - Kota Jambi,,Islam,,INDONESIA,INDONESIA
,,,,,,,Bapak dari bapak,INDONESIA,INDONESIA,,INDONESIA,INDONESIA,INDONESIA,JAMBI,, ,Jambi - Kota Jambi,,Islam,,INDONESIA,INDONESIA
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Padang-Bung Hatta-November-2013,SHFBVK,1994,Sumatera Barat - Kabupaten Solok Selatan,Laki,Kedua Orang Tua,3-5,Ibu,Jawa,Jawa,Petani,Jawa,Jawa,Jawa,Jawa,SD,Sumatera Barat - Kabupaten Solok Selatan,Sumatera Barat - Kabupaten Solok Selatan,,Islam,,Jawa,"Minang, Indonesia"
,,,,,,,Bapak,Jawa,Jawa,Petani,Jawa,Jawa,Jawa,Jawa,SD,Sumatera Barat - Kabupaten Solok Selatan, ,,Islam,,Jawa,"Minang, Indonesia"
,,,,,,,Ibu dari ibu,Jawa,Jawa,,Jawa,Jawa,Jawa,Jawa,,#NAME?,Sumatera Barat - Kabupaten Solok Selatan,,Islam,,Jawa,Jawa
,,,,,,,Bapak dari ibu,Jawa,Jawa,,Jawa,Jawa,Jawa,Jawa,,#NAME?, ,,Islam,,Jawa,Jawa
,,,,,,,Ibu dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Padang-Bung Hatta-November-2013,LITLMQ,1993,Sumatera Barat - Kota Padang,Perempuan,Orang Tua,lebih dari 24,Ibu,"Padang, Minangkabau","Padang, Minangkabau","Padang, Minangkabau","Padang, Minangkabau","Padang, Minangkabau","Padang, Minangkabau",Jambak,SD,Sumatera Barat - Kota Padang,Sumatera Barat - Kota Padang,rumah tangga,Islam,1958,Minangkabau,Belanda
,,,,,,,Bapak,"Padang, Minangkabau","Padang, Minangkabau","Padang, Minangkabau","Padang, Minangkabau","Padang, Minangkabau","Padang, Minangkabau",caniago,SD,Sumatera Barat - Kota Padang,Sumatera Barat - Kota Padang,Pekerja Lepas,Islam,1948,Minangkabau,Belanda
,,,,,,,Ibu dari ibu,Minangkabau,Minangkabau,Minangkabau,Minangkabau,Minangkabau,Minangkabau,Jambak,,Sumatera Barat - Kota Padang,Sumatera Barat - Kota Padang,IRT,Islam,,Minangkabau,Belanda
,,,,,,,Bapak dari ibu,Minangkabau,Minangkabau,Minangkabau,Minangkabau,Minangkabau,Minangkabau,Malinsiang,,Sumatera Barat - Kota Padang,Sumatera Barat - Kota Padang,petani,Islam,,Minangkabau,Belanda
,,,,,,,Ibu dari bapak,Minangkabau,Minangkabau,Minangkabau,Minangkabau,Minangkabau,Minangkabau,caniago,,Sumatera Barat - Kota Padang,Sumatera Barat - Kota Padang,IRT,Islam,,Minangkabau,Belanda
,,,,,,,Bapak dari bapak,Minangkabau,Minangkabau,Minangkabau,Minangkabau,Minangkabau,Minangkabau,Malinsiang,,Sumatera Barat - Kota Padang,Sumatera Barat - Kota Padang,Petani,Islam,,Minangkabau,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Padang-Bung Hatta-November-2013,NAQDUW,1995,Sumatera Barat - Kabupaten Solok Selatan,Perempuan,Ayah dan ibu,lebih dari 24,Ibu,Minang,Jawa,WARUNG,Minang,Minang,"Minang, Jawa",Tanjuang,SMA,#NAME?,Sumatera Barat - Kabupaten Solok Selatan,,Islam,,Minang,Jawa
,,,,,,,Bapak,Minang,Minang,DI TOKO,Minang,Minang,Minang,CANIAGO,SMA/SMU,Sumatera Barat - Kabupaten Solok Selatan,Sumatera Barat - Kabupaten Solok Selatan,,Islam,,Minang,Jawa
,,,,,,,Ibu dari ibu,ALM,Minang,,,Minang,,Tanjuang,,#NAME?,#NAME?,,Islam,,Minang,
,,,,,,,Bapak dari ibu,ALM,Minang,,,Minang,,MELAYU,,#NAME?,#NAME?,,Islam,,Minang,
,,,,,,,Ibu dari bapak,ALM,Minang,,,Minang,,CANIAGO,,Sumatera Barat - Kabupaten Solok Selatan,#NAME?,,Islam,,Minang,
,,,,,,,Bapak dari bapak,ALM,Minang,,,Minang,,JAMBAK,,Sumatera Barat - Kabupaten Solok Selatan,#NAME?,,Islam,,Minang,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Padang-Bung Hatta-November-2013,KODTBY,1994,Sumatera Barat - Kabupaten Solok Selatan,Perempuan,ORANG TUA,lebih dari 24,Ibu,"MINANG, JAWA",MINANG,,MINANG,"MINANG, JAWA","MINANG, JAWA",MINANG (MELAYU),SMP,Sumatera Barat - Kabupaten Solok Selatan,Sumatera Barat - Kabupaten Solok Selatan,,Islam,,MINANG,JAWA
,,,,,,,Bapak,"JAWA, INDONESIA",JAWA,,INDONESIA,"JAWA, INDONESIA","JAWA, INDONESIA",JAWA,SD, ,Sumatera Barat - Kabupaten Solok Selatan,,Islam,,JAWA,MINANG
,,,,,,,Ibu dari ibu,MINANG,MINANG,,,MINANG,,MINANG,, ,Sumatera Barat - Kabupaten Solok Selatan,,Islam,,JAWA,
,,,,,,,Bapak dari ibu,MINANG,MINANG,,,MINANG,,MINANG,, ,Riau - Kota Pekanbaru,,Islam,,MINANG,
,,,,,,,Ibu dari bapak,JAWA,JAWA,,,JAWA,,JAWA,, ,Sumatera Barat - Kabupaten Solok Selatan,,Islam,,MINANG,
,,,,,,,Bapak dari bapak,JAWA,JAWA,,,JAWA,,JAWA,, , ,,Islam,,JAWA,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,JAWA,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Padang-Bung Hatta-November-2013,GBWUZM,1994,Sumatera Barat - Kabupaten Pasaman Barat,Perempuan,orang tua,lebih dari 24,Ibu,daerah,daerah,daerah,daerah,daerah,"daerah, Indonesia",Melayu,SD,Sumatera Barat - Kabupaten Pasaman Barat,Sumatera Barat - Kabupaten Pasaman Barat,Ibu rumah tangga,Islam,1977,Melayu,"mandailing, minang, Indonesia"
,,,,,,,Bapak,daerah,daerah,"daerah, minang, indonesia",daerah,daerah,"daerah, Indonesia",Melayu,sma,#NAME?,Sumatera Barat - Kabupaten Pasaman Barat,wiraswasta,Islam,1975,Melayu,"mandailing, minang, Indonesia"
,,,,,,,Ibu dari ibu,Melayu,,,daerah,Melayu,daerah,Melayu,,#NAME?,#NAME?,,Islam,,mandailing,Melayu
,,,,,,,Bapak dari ibu,Melayu,,,daerah,Melayu,daerah,Melayu,,#NAME?,#NAME?,,Islam,,Melayu,mandailing
,,,,,,,Ibu dari bapak,Melayu,,,daerah,Melayu,daerah,Melayu,,#NAME?,#NAME?,,Islam,,Melayu,Melayu
,,,,,,,Bapak dari bapak,Melayu,,,daerah,Melayu,daerah,Melayu,, ,#NAME?,,Islam,,Melayu,Melayu
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Padang-Bung Hatta-November-2013,QTXERB,1995,Jambi - Kabupaten Tebo,Perempuan,Orang Tua dan adik (keluarga),3-5,Ibu,Daerah (Tebo),Daerah (Tebo),daerah,daerah,daerah,daerah,Jambi,SMA,Jambi - Kabupaten Tebo,Jambi - Kabupaten Tebo,Pedagang,Islam,1975,Daerah (Tebo),Minang
,,,,,,,Bapak,Tebo,"Jambi, Tebo",Tebo,Tebo,Tebo,Tebo,Jambi,SMA,Jambi - Kota Jambi,Jambi - Kabupaten Tebo,Pedagang,Islam,1968,daerah,Jawa
,,,,,,,Ibu dari ibu,Tebo,,Tebo,Tebo,Tebo,Tebo,Jambi,,#NAME?,Jambi - Kabupaten Tebo,,Islam,,Lumuk Kambing,Tebo
,,,,,,,Bapak dari ibu,,,,,,,Minang,,Jambi - Kabupaten Tebo, ,,Islam,,Lumuk Kambing,Tebo
,,,,,,,Ibu dari bapak,Tebo,,Tebo,Tebo,Tebo,Jambi,Minang,Sekolah Masak,Jambi - Kota Jambi,Jambi - Kabupaten Tebo,guru,Islam,,"Minang, Tebo","Tebo, Indonesia"
,,,,,,,Bapak dari bapak,Tebo,,Indonesia,Tebo,Tebo,Jambi,Jawa,Mantri,Jambi - Kota Jambi,Jambi - Kabupaten Tebo,Mantri,Islam,,"Minang, Tebo","Tebo, Indonesia"
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,"Minang, Tebo, Jambi",
,,,,,,,Anak Anda,,,,,,,,, , ,,,,"Minang, Tebo, Jambi",
,,,,,,,,,,,,,,,,,,,,,"Jawa, Indonesia, Tebo",
,,,,,,,,,,,,,,,,,,,,,"Jawa, Indonesia, Tebo",
Padang-Bung Hatta-November-2013,TKQOHS,1995,Sumatera Barat - Kota Padang,Laki,Orang Tua Kandung,lebih dari 24,Ibu,"Minang, Indonesia","Minang, Indonesia","Minang, Indonesia","Minang, Indonesia","Minang, Indonesia","Minang, Indonesia",Chaniago,SMA,Sumatera Barat - Kota Padang,Sumatera Barat - Kota Padang,,Islam,1974,Minang,Indonesia
