session,birth_year,home_location,sex,caretaker,visit_frequency,ibu_curr_home_lang,ibu_past_home_lang,ibu_work_lang,ibu_neighbor_lang,ibu_partner_lang,ibu_family_lang,ibu_ethnicity,ibu_education,ibu_past_home,ibu_curr_home,ibu_profession,ibu_religion,ibu_birth_year,ibu_first_lang,ibu_other_langs,bapak_curr_home_lang,bapak_past_home_lang,bapak_work_lang,bapak_neighbor_lang,bapak_partner_lang,bapak_family_lang,bapak_ethnicity,bapak_education,bapak_past_home,bapak_curr_home,bapak_profession,bapak_religion,bapak_birth_year,bapak_first_lang,bapak_other_langs,ibu_dari_ibu_curr_home_lang,ibu_dari_ibu_past_home_lang,ibu_dari_ibu_work_lang,ibu_dari_ibu_neighbor_lang,ibu_dari_ibu_partner_lang,ibu_dari_ibu_family_lang,ibu_dari_ibu_ethnicity,ibu_dari_ibu_education,ibu_dari_ibu_past_home,ibu_dari_ibu_curr_home,ibu_dari_ibu_profession,ibu_dari_ibu_religion,ibu_dari_ibu_birth_year,ibu_dari_ibu_first_lang,ibu_dari_ibu_other_langs,bapak_dari_ibu_curr_home_lang,bapak_dari_ibu_past_home_lang,bapak_dari_ibu_work_lang,bapak_dari_ibu_neighbor_lang,bapak_dari_ibu_partner_lang,bapak_dari_ibu_family_lang,bapak_dari_ibu_ethnicity,bapak_dari_ibu_education,bapak_dari_ibu_past_home,bapak_dari_ibu_curr_home,bapak_dari_ibu_profession,bapak_dari_ibu_religion,bapak_dari_ibu_birth_year,bapak_dari_ibu_first_lang,bapak_dari_ibu_other_langs,ibu_dari_bapak_curr_home_lang,ibu_dari_bapak_past_home_lang,ibu_dari_bapak_work_lang,ibu_dari_bapak_neighbor_lang,ibu_dari_bapak_partner_lang,ibu_dari_bapak_family_lang,ibu_dari_bapak_ethnicity,ibu_dari_bapak_education,ibu_dari_bapak_past_home,ibu_dari_bapak_curr_home,ibu_dari_bapak_profession,ibu_dari_bapak_religion,ibu_dari_bapak_birth_year,ibu_dari_bapak_first_lang,ibu_dari_bapak_other_langs,bapak_dari_bapak_curr_home_lang,bapak_dari_bapak_past_home_lang,bapak_dari_bapak_work_lang,bapak_dari_bapak_neighbor_lang,bapak_dari_bapak_partner_lang,bapak_dari_bapak_family_lang,bapak_dari_bapak_ethnicity,bapak_dari_bapak_education,bapak_dari_bapak_past_home,bapak_dari_bapak_curr_home,bapak_dari_bapak_profession,bapak_dari_bapak_religion,bapak_dari_bapak_birth_year,bapak_dari_bapak_first_lang,bapak_dari_bapak_other_langs
IWRKHC,1995,Bali - Kabupaten Karangasem,Perempuan,Orang tua,6-12,Bali,Bali,Bali,Bali,Bali,Bali,,SD,Bali - Kabupaten Karangasem,Bali - Kabupaten Karangasem,Pedagang,Hindu,1969,Bali,Indonesia,Bali,Bali,Indonesia,Bali,Bali,Bali,,SMP,Bali - Kabupaten Karangasem,Bali - Kabupaten Karangasem,Polisi,Hindu,1958,Bali,Indonesia,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
GFHMOB,1995,Bali - Kabupaten Bangli,Perempuan,Keluarga,12-24,bali,bali,bali,bali,bali,bali,Bali,SD,Bali - Kabupaten Bangli,Bali - Kabupaten Bangli,,Hindu,1970,bali,Indonesia,bali,bali,bali,bali,bali,bali,Bali,SMA,Bali - Kabupaten Bangli,Bali - Kabupaten Bangli,PNS,Hindu,1960,bali,Indonesia,bali,bali,bali,bali,bali,bali,Bali,,Bali - Kabupaten Bangli,Bali - Kabupaten Bangli,,Hindu,,bali,,bali,bali,bali,bali,bali,bali,Bali,,Bali - Kabupaten Bangli,Bali - Kabupaten Bangli,,Hindu,,bali,,bali,bali,bali,bali,bali,bali,Bali,,Bali - Kabupaten Bangli,Bali - Kabupaten Bangli,,Hindu,,bali,,bali,bali,bali,bali,bali,bali,Bali,,Bali - Kabupaten Bangli,Bali - Kabupaten Bangli,,Hindu,,bali,
JCCHKW,1994,Bali - Kabupaten Buleleng,Perempuan,Orang tua,3-5,Bali,Bali,Bali,Indonesia,Bali,Bali,,SD,#NAME?,#NAME?,Wiraswasta,Islam,1965,Bali,Indonesia,Bali,Bali,Bali,Bali,Bali,Bali,,SMA,#NAME?,#NAME?,Wiraswasta,Islam,1955,Bali,Indonesia,,,,,,,,, , ,,Islam,1927,Bali,Indonesia,,,,,,,,, , ,,Islam,1902,Bali,Indonesia,,,,,,,,, , ,,Islam,1903,Bali,Indonesia,,,,,,,,, , ,,Islam,1900,Bali,Indonesia
UEYAQP,1995,Bali - Kabupaten Buleleng,Perempuan,Orang tua,lebih dari 24,Bali,Bali,Bali,Bali,Bali,Bali,Bali,SD,Bali - Kabupaten Buleleng,Bali - Kabupaten Buleleng,Petani,Hindu,1972,Bali,Indonesia,Bali,Bali,Bali,Bali,Bali,Bali,Bali,SMA,Bali - Kabupaten Buleleng,Bali - Kabupaten Buleleng,Petani,Hindu,1971,Bali,Indonesia,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
FHATZW,1995,"Bali - Peliatan, Ubud",Perempuan,Orang tua,lebih dari 24,Bali,,Bali,Bali,Bali,Bali,Bali,SMA,Bali - Ubud,Bali - Ubud,Wiraswasta,Hindu,1975,Bali,,Bali,,Bali,Bali,Bali,Bali,Bali,D3,Bali - Ubud,Bali - Ubud,Wiraswasta,Hindu,1965,Bali,,Bali,,Bali,Bali,Bali,Bali,Bali,,#NAME?,#NAME?,,Hindu,,Bali,,Bali,,Bali,Bali,Bali,Bali,Bali,,#NAME?,#NAME?,,Hindu,,Bali,,Bali,,Bali,Bali,Bali,Bali,Bali,,#NAME?,#NAME?,,Hindu,,Bali,,Bali,,Bali,Bali,Bali,Bali,Bali,,#NAME?,#NAME?,,Hindu,,Bali,
UMLXMC,1994,Bali - Kabupaten Buleleng,Perempuan,Orang tua,lebih dari 24,Bali,Bali,Indonesia,Bali,Bali,Bali,Bali,SD,Bali - Kabupaten Buleleng,Bali - Kabupaten Buleleng,Pedagang,Hindu,,Bali,Indonesia,Bali,Bali,Indonesia,Bali,Bali,Bali,Bali,S1,Bali - Kabupaten Buleleng,Bali - Kabupaten Buleleng,Guru,Hindu,,Bali,Indonesia,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
PUGNWG,1995,Bali - Kabupaten Tabanan,Perempuan,Orang Tua,6-12,"Bali, Indonesia",Bali,Indonesia,Indonesia,Bali,Bali,,Strata 1,#NAME?,Bali - Kabupaten Tabanan,Pegawai BUMD,Hindu,1970,Bali,Indonesia,"Bali, Indonesia",Bali,Indonesia,Indonesia,Bali,Bali,,D3,#NAME?,Bali - Kabupaten Tabanan ,Wiraswasta,Hindu,1963,Bali,Indonesia,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
UPYPND,1995, Bali - Kabupaten Tabanan,Laki,orang tua,6-12,Bali,Bali,Bali,Bali,Bali,Bali,,SMA,Bali - Kabupaten Tabanan,Bali - Kabupaten Tabanan,IRT,Hindu,,Bali,Indonesia,Bali,Bali,Indonesia,Bali,Bali,Bali,,S1,Bali - Kabupaten Tabanan,Bali - Kabupaten Tabanan,Guru,Hindu,,Bali,Indonesia,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
VPDKYA,1994,Bali - Kabupaten Tabanan,Perempuan,Kedua ortu,3-5,Bali,Bali,Bali,Bali,Bali,Bali,,PGA,Bali - Kabupaten Tabanan,Bali - Kabupaten Tabanan,IRT,Hindu,1966,Bali,Indonesia,Bali,Bali,Bali,Bali,Bali,Bali,,S1,Bali - Kabupaten Tabanan,Bali - Kabupaten Tabanan,GURU,Hindu,1960,Bali,Indonesia,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
UUSXXV,1995,Bali - Kabupaten Buleleng,Laki,Orang tua,lebih dari 24,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
FDNWAB,1995,Bali - Kabupaten Buleleng,Perempuan,Orangtua,lebih dari 24,Bali,Jawa,Bali,Bali,Bali,Bali,Jawa,SMA,Jawa Timur - Kabupaten Blitar,Bali - Singaraja,,Islam,1952,Jawa,Bali,Bali,Bali,Bali,Bali,Bali,Bali,Bali,SMK,#NAME?,Bali - Singaraja,,Hindu,1954,Bali,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
QLVQCI,1994, Bali - Kabupaten Klungkung,Perempuan,Orangtua,3-5,Bali,Bali,Bali,Bali,Bali,Bali,bali,SD,#NAME?,Bali - Kabupaten Klungkung,,Hindu,1968,Bali,Bali,Bali,Bali,Bali,Bali,Bali,Bali,bali,SD,#NAME?,Bali - Kabupaten Klungkung,,Hindu,1963,Bali,Bali,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
BCNQJA,1995,Bali - Kabupaten Bangli,Perempuan,Orang tua,lebih dari 24,Bali,Bali,Bali,Bali,Bali,Bali,Bali,SD,Bali - Kabupaten Bangli,Bali - Kabupaten Bangli,Petani,Hindu,1980,Bali,Indonesia,Bali,Bali,Bali,Bali,Bali,Bali,Bali,SMA,Bali - Kabupaten Bangli,Bali - Kabupaten Bangli,Petani,Hindu,1971,Bali,Indonesia,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
USFHIC,1995,Bali - Kabupaten Bangli,Perempuan,Orang tua,12-24,Bali,Bali,Bali,Bali,Bali,Bali,,SMP,Bali - Kabupaten Bangli, Bali - Kabupaten Bangli,Wiraswasta,Hindu,1972,Bali,Bali,Bali,Bali,Bali,Bali,Bali,Bali,,SMA,Bali - Kabupaten Bangli, Bali - Kabupaten Bangli,Wiraswasta,Hindu,1970,Bali,Bali,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
YMZVRF,1995,Bali - Kabupaten Bangli,Laki,Kedua orang tua,3-5,Bali,Bali,Bali,Bali,Bali,Bali,,S1,Bali - Singaraja,Bali - Kabupaten Bangli,guru,Hindu,1969,Bali,Indonesia,Bali,Bali,Bali,Bali,Bali,Bali,,SMA,Bali - Singaraja,Bali - Kabupaten Bangli,Wiraswasta,Hindu,1962,Bali,Indonesia,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
KZYUKO,1994,Bali - Kabupaten Jembrana,Laki,orang tua,1-2,Bali,Bali,Bali,Bali,Bali,"Bali, Indonesia",Bali,SD,Bali - Kabupaten Jembrana,Bali - Kabupaten Jembrana,,Islam,1968,Bali,Indonesia,Bali,Bali,Bali,Bali,Bali,"Bali, Indonesia",Bali,SMP,Bali - Kabupaten Jembrana,Bali - Kabupaten Jembrana,,Islam,1958,Bali,Indonesia,,,,Bali,,,,, , ,,,,,,,,,Bali,,,,, , ,,,,,,,,,Bali,,,,, , ,,,,,,,,,Bali,,,,, , ,,,,,
SLYEAX,1995,Bali - Kabupaten Bangli,Laki,,3-5,Bali,Bali,Bali,Bali,Bali,Bali,,SMA,Bali - Kabupaten Gianyar,Bali - Kabupaten Bangli,Wiraswasta,Hindu,1967,Bali,Indonesia,Bali,Bali,Indonesia,Bali,Bali,Bali,,S1,Bali - Kabupaten Bangli, Bali - Kabupaten Bangli,guru,Hindu,1962,Bali,Indonesia,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
IQVDTT,1995,Bali - Kabupaten Badung,Perempuan,orang tua,3-5,Bali,Bali,Indonesia,Bali,Bali,Bali,Hindu,SMU,Bali - Kabupaten Tabanan,Bali - Kabupaten Badung,Ibu rumah Tangga,Hindu,,Bali,Bali,Bali,Bali,Indonesia,Bali,Bali,Bali,Hindu,D3,Bali - Kabupaten Tabanan,Bali - Kabupaten Badung,Peg. Swasta,Hindu,,Bali,Bali,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
RIHFNT,1995, Bali - Kabupaten Badung,Laki,Orang tua,,Dalung,Bali,,,Suami,,Bali,SMA,#NAME?,Bali - Kabupaten Badung,pegawai swasta,Hindu,,Bali,Indonesia,Dalung,Bali,,,Istri,,Bali,SMA,#NAME?,Bali - Kabupaten Badung,Wiraswasta,Hindu,,Bali,Indonesia,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
GJGENE,1994,Bali - Kabupaten Karangasem,Perempuan,Orang Tua,lebih dari 24,"Bali, Indonesia",Bali,"Bali, Indonesia",Bali,Bali,Bali,,S1,Bali - Kabupaten Karangasem,Bali - Kabupaten Karangasem,PNS,Hindu,1967,Bali,Indonesia,"Bali, Indonesia",Bali,"Bali, Indonesia",Bali,Bali,Bali,,S1,Bali - Kabupaten Karangasem,Bali - Kabupaten Karangasem,PNS,Hindu,1964,Bali,Indonesia,,Bali,,Bali,Bali,Bali,,,Bali - Kabupaten Karangasem, ,Ibu rumah tangga,Hindu,1933,Bali,Bali,Bali,Bali,,Bali,Bali,Bali,,,Bali - Kabupaten Karangasem,Bali - Kabupaten Karangasem,PETANI,Hindu,1936,Bali,Bali,Bali,Bali,,Bali,Bali,Bali,,,Bali - Kabupaten Karangasem,Bali - Kabupaten Karangasem,IBU RUMAH TANGGA,Hindu,1933,Bali,,Bali,Bali,,Bali,Bali,Bali,,,Bali - Kabupaten Karangasem,Bali - Kabupaten Karangasem,PETANI,Hindu,1928,Bali,
EBKRLJ,1995,Bali - Singaraja,Perempuan,Orang tua,lebih dari 24,Bali,Bali,Indonesia,Bali,Bali,Indonesia,,S1,Bali - Singaraja,Bali - Singaraja,,Hindu,1969,Bali,Indonesia,Bali,Bali,Indonesia,Indonesia,Bali,Indonesia,,S2,Bali - Kabupaten Gianyar,Bali - Singaraja,,Hindu,1964,Bali,Indonesia,Bali,Bali,,Bali,Bali,Bali,,,Bali - Singaraja, ,pedagang,Hindu,,Bali,Indonesia,Bali,Bali,,Bali,Bali,Bali,,,Bali - Singaraja, ,veteran,Hindu,,Bali,Jepang,Bali,Bali,,Bali,Bali,Bali,,,Bali - Kabupaten Gianyar, ,pedagang,Hindu,,Bali,Indonesia,Bali,Bali,,Bali,Bali,Bali,,,Bali - Kabupaten Gianyar, ,tentara,Hindu,,Bali,Indonesia
YCTHWR,,Bali - Negara,Laki,orang tua,3-5,BALI,BALI,"BALI, INDONESIA","BALI, INDONESIA",BALI,BALI,Bali,,Bali - Kabupaten Bangli,Bali - Negara,WIRASWASTA,Hindu,1967,BALI,INDONESIA,BALI,BALI,"BALI, INDONESIA","BALI, INDONESIA",BALI,BALI,Bali,,Bali - Kabupaten Bangli,Bali - Negara,WIRASWASTA,Hindu,1963,BALI,INDONESIA,BALI,BALI,,BALI,BALI,BALI,Bali,, Bali - Kabupaten Bangli,Bali - Kabupaten Bangli,,Hindu,,BALI,BALI,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
MJRPFX,1995,Bali - SINGARAJA,Perempuan,ORANG TUA,lebih dari 24,BALI,BALI,INDONESIA,"INDONESIA, BALI",BALI,INDONESIA,BALI,SMA,Bali - SINGARAJA,Bali - SINGARAJA ,WIRASWASTA,Hindu,1965,BALI,INDONESIA,BALI,BALI,INDONESIA,"INDONESIA, BALI",BALI,INDONESIA,BALI,SMA,Bali - SINGARAJA,Bali - SINGARAJA,WIRASWASTA,Hindu,1960,BALI,INDONESIA,BALI,BALI,,BALI,BALI,BALI,BALI,,Bali,Bali - SINGARAJA,,Hindu,1945,BALI,,BALI,BALI,,BALI,BALI,BALI,BALI,,Bali,Bali - SINGARAJA,,Hindu,1943,BALI,,BALI,BALI,,BALI,BALI,BALI,BALI,,Bali,Bali - SINGARAJA,,Hindu,1940,BALI,,,,,,,,,, , ,,,,,
BEDUCF,1995,Bali - Kabupaten Buleleng,Laki,ORANG TUA,lebih dari 24,Bali,Bali,Bali,Bali,Bali,Bali,SUNDA,SD,Bali - Kabupaten Buleleng,Bali - Kabupaten Buleleng,Pedagang,Hindu,1957,Bali,Indonesia,Bali,Bali,Bali,Bali,Bali,Bali,SUNDA,SMP,Bali - Kabupaten Buleleng,Bali - Kabupaten Buleleng,Wiraswasta,Hindu,1950,Bali,Indonesia,Bali,Bali,Bali,Bali,Bali,Bali,bali,,Bali - Kabupaten Buleleng,Bali - Kabupaten Buleleng,Petani,Hindu,,Bali,Indonesia,Bali,Bali,Bali,Bali,Bali,Bali,bali,,Bali - Kabupaten Buleleng,Bali - Kabupaten Buleleng,Petani,Hindu,,Bali,Indonesia,Bali,Bali,Bali,Bali,Bali,Bali,bali,,Bali - Kabupaten Buleleng,Bali - Kabupaten Buleleng,Petani,Hindu,,Bali,Bali,Bali,Bali,Bali,Bali,Bali,Bali,bali,,Bali - Kabupaten Buleleng,Bali - Kabupaten Buleleng,Petani,Hindu,,Bali,Bali
AYSGGI,1995,Bali - Kabupaten Buleleng,Perempuan,ORANG TUA,3-5,BALI,BALI,BALI,BALI,BALI,BALI,BALI,s1,Bali - Kabupaten Gianyar,Bali - SEIRIT,GURU,Hindu,1964,BALI,INDONESIA,BALI,BALI,INDONESIA,BALI,BALI,BALI,BALI,SMA,Bali - SEIRIT,Bali - SEIRIT,POLISI,Hindu,1961,BALI,INDONESIA,BALI,BALI,BALI,BALI,BALI,BALI,BALI,,Bali - Kabupaten Gianyar,Bali - UBUD,IRT,Hindu,,BALI,,BALI,BALI,BALI,BALI,BALI,BALI,BALI,SPG,Bali - Kabupaten Gianyar,Bali - UBUD,GURU,Hindu,,BALI,,BALI,BALI,BALI,BALI,BALI,BALI,BALI,SR,Bali - SEIRIT,Bali - SEIRIT,IRT,Hindu,1933,BALI,,BALI,BALI,BALI,BALI,BALI,BALI,BALI,SR,Bali - SEIRIT,Bali - SEIRIT,PETANI,Hindu,1925,BALI,
YMPHSK,194,Bali - Kabupaten Buleleng,Perempuan,ORANG TUA DAN KAKEK NENEK,3-5,BALI,BALI,BALI,BALI,BALI,"bali, indonesia",HINDU,SD,Bali - Singaraja,Bali - Singaraja,penjahit,Hindu,,BALI,BALI,BALI,BALI,BALI,BALI,BALI,"bali, indonesia",HINDU,SMA,Bali - Singaraja,Bali - Singaraja,sopir tamu,Hindu,,BALI,BALI,BALI,BALI,BALI,BALI,BALI,BALI,HINDU,,Bali - Singaraja,Bali - Singaraja,pedagang,Hindu,,BALI,BALI,BALI,BALI,BALI,BALI,BALI,BALI,HINDU,,Bali - Singaraja,Bali - Singaraja,pedagang,Hindu,,BALI,BALI,BALI,BALI,BALI,BALI,BALI,BALI,HINDU,,Bali - Singaraja,Bali - Singaraja,pedagang,Hindu,,BALI,BALI,BALI,BALI,BALI,BALI,BALI,BALI,HINDU,,Bali - Singaraja,Bali - Singaraja,pedagang,Hindu,,BALI,BALI
ATSRZH,1995,Bali - Kabupaten Gianyar,Laki,ORANG TUA,12-24,BALI,BALI,BALI,,BALI,BALI,,s1,Bali - Kabupaten Gianyar ,Bali - Kabupaten Gianyar,GURU,Hindu,1963,BALI,INDONESIA,BALI,BALI,INDONESIA,,BALI,BALI,,S1,Bali - Kabupaten Gianyar,Bali - Kabupaten Gianyar,GURU,Hindu,,BALI,INDONESIA,BALI,BALI,,,BALI,BALI,,,Bali - Kabupaten Gianyar, Bali - Kabupaten Gianyar,,Hindu,1936,BALI,,BALI,BALI,,,BALI,BALI,,,Bali - Kabupaten Gianyar,Bali - Kabupaten Gianyar,,Hindu,1938,BALI,,BALI,BALI,,,BALI,BALI,,,Bali - Kabupaten Gianyar,Bali - Kabupaten Gianyar,,Hindu,,BALI,,BALI,BALI,,,BALI,BALI,,,Bali - Kabupaten Gianyar,Bali - Kabupaten Gianyar,,Hindu,1933,BALI,
TTNETP,1977,Maluku Utara - Kota Ternate,Perempuan,Orang Tua,6-12,Ternate,Sunda,Ternate,Ternate,Ternate,Ternate,Sunda,SMP,#NAME?,Maluku Utara - Kota Ternate,Ibu rumah tangga,Islam,1955,Sunda,Ternate,Ternate,Ternate,"Formal, Ternate",Ternate,Ternate,Ternate,Ternate,SMA,Maluku Utara - Kota Ternate,Maluku Utara - Kota Ternate,PNS,Islam,1952,Ternate,Ternate,Sunda,Sunda,Sunda,Sunda,Sunda,Sunda,Sunda,SD,#NAME?,Maluku Utara - Kota Ternate,Ibu RT,Islam,,Sunda,Ternate,Ternate,Ternate,Ternate,Ternate,Ternate,Ternate,Ternate,SD,#NAME?,Maluku Utara - Kota Ternate,TNI,Islam,,Ternate,Ternate,Ternate,Ternate,Ternate,Ternate,Ternate,Ternate,Ternate,SD,Maluku Utara - Kota Ternate,Maluku Utara - Kota Ternate,Ibu RT,Islam,,Ternate,Ternate,Ternate,Ternate,Ternate,Ternate,Ternate,Ternate,Ternate,SD,Maluku Utara - Kota Ternate,Maluku Utara - Kota Ternate,Wiraswasta,Islam,,Ternate,Ternate
QVTVEC,1987, Maluku Utara - Kota Ternate,Laki,Orang tua,3-5,Makian,Makian,Melayu Ternate,Melayu Ternate,Makian,Makian,Makian Timur,SD,#NAME?,Maluku Utara - jailolo,Tani,Islam,1942,Makian,,Makian,Makian,Makian,Melayu Ternate,Melayu Ternate,Makian,Makian Timur,SD,#NAME?,Maluku Utara - jailolo,Tani,Islam,1940,Makian,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
KGKWOU,1964,Maluku Utara - Makyan,Laki,Keluarga,3-5,Makyan,Makyan,Makyan,Makyan,Makyan,Makyan,makyan,SD,Maluku Utara - Makyan, ,Tani,Islam,,Makyan,Indonesia,Makyan,Makyan,Makyan,Makyan,Makyan,Makyan,makyan,SD,Maluku Utara - Makyan, ,Tani,Islam,,Makyan,Indonesia,,,,,,,makyan,, , ,,,,Makyan,Makyan,Makyan,Makyan,Makyan,Makyan,Makyan,Makyan,,, , ,,,,Jawa,Ternate,Makyan,Makyan,Makyan,Makyan,Makyan,Makyan,,, , ,,,,Jawa,,Makyan,Makyan,Makyan,Makyan,Makyan,Makyan,,, , ,,,,,
XQJVFM,1981,Maluku Utara - Kota Ternate,Perempuan,Orang tua,lebih dari 24,,"Taba, Makian",,,,Saudara,Makian,SD,#NAME?,Maluku Utara - Kota Ternate,SD,Islam,1954,Makian,Makian,,"Taba, Makian",,,,Saudara,Makian,SGO,#NAME?,Maluku Utara - Kota Ternate,SGO,Islam,1950,Makian,Makian,Makian,Makian,Makian,,Makian,Saudara,Makian,, - Makian,#NAME?,Swasta,Islam,1940,Makian,Melayu,Makian,Makian,Makian,,Makian,Saudara,Makian,,#NAME?,#NAME?,Swasta,Islam,,Makian,Melayu,Makian,Makian,Makian,,Makian,Saudara,Makian,,#NAME?,#NAME?,Swasta,Islam,,Makian,Melayu,Makian,Makian,Makian,,Makian,Saudara,Makian,,#NAME?,#NAME?,Swasta,Islam,,Makian,Melayu
TWGBKI,1976,Maluku Utara - Kota Ternate,Perempuan,Orang tua,6-12,Melayu Ternate,Melayu Ternate,Melayu Ternate,Melayu Ternate,Melayu Ternate,Melayu Ternate,Ternate,Sekolah rakyat,Maluku Utara - Kota Ternate,Maluku Utara - Kota Ternate,,Islam,1947,Melayu Ternate,,Melayu Ternate,Melayu Ternate,Melayu Ternate,Melayu Ternate,Melayu Ternate,Melayu Ternate,Ternate,SMA,Maluku Utara - Kota Ternate,Maluku Utara - Kota Ternate,Wiraswasta,Islam,1946,Melayu Ternate,,,,,,,,,, , ,,,,Tidore,,,,,,,,,, , ,,,,Tidore,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
QDBURI,1984,Maluku Utara - Kabupaten Kepulauan Sula,Perempuan,Kedua orang tua,lebih dari 24,Sula,Sula,Sula,Sula,Sula,Sula,Sula,SD,Maluku Utara - Kabupaten Kepulauan Sula,Maluku Utara - Kabupaten Kepulauan Sula,Petani,Islam,,Sula,Galela,Sula,Sula,Sula,Sula,Sula,Sula,Sula,SD,Maluku Utara - Kabupaten Kepulauan Sula, Maluku Utara - Kabupaten Kepulauan Sula,Petani,Islam,,Sula,Galela,Sula,Sula,Sula,Sula,Sula,Sula,,SD, Maluku Utara - Kabupaten Kepulauan Sula, ,Petani,Islam,,Sula,,Sula,Sula,Sula,Sula,Sula,Sula,,SD,Maluku Utara - Kabupaten Kepulauan Sula, ,Petani,Islam,,Sula,,Sula,Sula,Sula,Sula,Sula,Sula,,SD,Maluku Utara - Kabupaten Kepulauan Sula, ,Petani,Islam,,Sula,,Sula,Sula,Sula,Sula,Sula,Sula,Sula,SD,Maluku Utara - Kabupaten Kepulauan Sula, ,Petani,Islam,,"Buton, Tomia",
ICZSAT,1967,Maluku Utara - Kota Ternate,Perempuan,orang tua,lebih dari 24,Jawa,Jawa,Indonesia,"Jawa, Indonesia",Jawa,"Jawa, Indonesia",Jawa,SLTA,Jawa Timur - Kabupaten Malang,Jawa Timur - Kabupaten Malang ,Tani,Islam,1949,Jawa,Indonesia,Jawa,Jawa,Indonesia,"Jawa, Indonesia",Jawa,"Jawa, Indonesia",Jawa,SLTA,Jawa Timur - Kabupaten Malang,Jawa Timur - Kabupaten Malang,Tani,Islam,1947,Jawa,Indonesia,,,,,,,,, , ,,,,Indonesia dialek ternate,Tidore,,,,,,,,, , ,,,,,Tidore,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
MPHUZB,1969,Maluku Utara - Kota Ternate,Perempuan,Orang Tua,lebih dari 24,,,,,,,,, , ,,,,Makassar,Dialek ternate,,,,,,,,, , ,,,,Makassar,Dialek ternate,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
UUOJCF,1983,Sulawesi Selatan - Kabupaten Bone,Laki,Orang tua,1-2,Bugis,Bugis,Bugis,Bugis,Bugis,Bugis,Bugis,SD,Sulawesi Selatan - Kabupaten Bone,Sulawesi Selatan - Kabupaten Bone,Petani,Islam,1965,Bugis/Palakka,,Bugis,Bugis,Bugis,Bugis,Bugis,Bugis,Bugis,SD,Sulawesi Selatan - Kabupaten Bone,Sulawesi Selatan - Kabupaten Bone,Petani,Islam,1960,Bugis/Palakka,,Bugis,Bugis,Bugis,Bugis,Bugis,Bugis,Bugis,,Sulawesi Selatan - Kabupaten Bone, ,,Islam,1935,Bugis,,,Bugis,,,,,Bugis,,Sulawesi Selatan - Kabupaten Bone, ,,Islam,1930,Bugis,,,Bugis,,,,,Bugis,,Sulawesi Selatan - Kabupaten Bone, ,,Islam,1930,Bugis,,,Bugis,,,,,Bugis,,Sulawesi Selatan - Kabupaten Bone, ,,Islam,1930,Bugis,
